X,CH1,
Second,Volt,
3.39E-03,1.00E+00,
3.39E-03,1.01E+00,
3.39E-03,1.00E+00,
3.40E-03,1.00E+00,
3.40E-03,1.01E+00,
3.41E-03,1.01E+00,
3.42E-03,1.00E+00,
3.42E-03,1.00E+00,
3.42E-03,1.00E+00,
3.43E-03,1.00E+00,
3.43E-03,1.00E+00,
3.44E-03,1.01E+00,
3.45E-03,1.00E+00,
3.45E-03,1.01E+00,
3.45E-03,1.01E+00,
3.46E-03,1.01E+00,
3.46E-03,1.00E+00,
3.47E-03,1.00E+00,
3.48E-03,9.99E-01,
3.48E-03,1.01E+00,
3.49E-03,1.00E+00,
3.49E-03,1.01E+00,
3.49E-03,1.00E+00,
3.50E-03,1.00E+00,
3.51E-03,9.99E-01,
3.51E-03,1.01E+00,
3.52E-03,1.01E+00,
3.52E-03,1.00E+00,
3.52E-03,9.99E-01,
3.53E-03,1.00E+00,
3.54E-03,1.00E+00,
3.54E-03,1.00E+00,
3.55E-03,1.00E+00,
3.55E-03,1.00E+00,
3.55E-03,1.00E+00,
3.56E-03,1.00E+00,
3.57E-03,1.01E+00,
3.57E-03,1.00E+00,
3.57E-03,1.00E+00,
3.58E-03,1.00E+00,
3.58E-03,1.00E+00,
3.59E-03,1.01E+00,
3.60E-03,1.00E+00,
3.60E-03,9.99E-01,
3.60E-03,1.00E+00,
3.61E-03,1.00E+00,
3.61E-03,1.00E+00,
3.62E-03,1.00E+00,
3.63E-03,1.01E+00,
3.63E-03,1.00E+00,
3.63E-03,1.01E+00,
3.64E-03,1.00E+00,
3.64E-03,1.00E+00,
3.65E-03,1.00E+00,
3.66E-03,1.00E+00,
3.66E-03,1.01E+00,
3.66E-03,9.99E-01,
3.67E-03,1.01E+00,
3.67E-03,1.00E+00,
3.68E-03,1.02E+00,
3.69E-03,1.00E+00,
3.69E-03,1.01E+00,
3.69E-03,1.00E+00,
3.70E-03,1.01E+00,
3.70E-03,1.00E+00,
3.71E-03,1.01E+00,
3.72E-03,1.00E+00,
3.72E-03,1.01E+00,
3.73E-03,9.99E-01,
3.73E-03,1.00E+00,
3.73E-03,1.00E+00,
3.74E-03,1.00E+00,
3.74E-03,1.00E+00,
3.75E-03,1.01E+00,
3.76E-03,1.00E+00,
3.76E-03,1.00E+00,
3.76E-03,1.00E+00,
3.77E-03,1.01E+00,
3.77E-03,1.00E+00,
3.78E-03,1.01E+00,
3.79E-03,1.00E+00,
3.79E-03,1.00E+00,
3.79E-03,1.00E+00,
3.80E-03,1.01E+00,
3.80E-03,9.99E-01,
3.81E-03,1.01E+00,
3.82E-03,1.00E+00,
3.82E-03,1.01E+00,
3.82E-03,1.00E+00,
3.83E-03,1.01E+00,
3.83E-03,1.00E+00,
3.84E-03,1.01E+00,
3.85E-03,1.00E+00,
3.85E-03,1.00E+00,
3.85E-03,1.00E+00,
3.86E-03,9.99E-01,
3.86E-03,1.00E+00,
3.87E-03,1.01E+00,
3.88E-03,9.99E-01,
3.88E-03,1.00E+00,
3.88E-03,1.00E+00,
3.89E-03,1.00E+00,
3.89E-03,1.00E+00,
3.90E-03,1.01E+00,
3.91E-03,1.01E+00,
3.91E-03,1.00E+00,
3.91E-03,1.00E+00,
3.92E-03,1.00E+00,
3.92E-03,1.01E+00,
3.93E-03,1.00E+00,
3.94E-03,1.00E+00,
3.94E-03,1.00E+00,
3.94E-03,1.00E+00,
3.95E-03,1.00E+00,
3.95E-03,1.00E+00,
3.96E-03,1.01E+00,
3.97E-03,1.01E+00,
3.97E-03,1.01E+00,
3.97E-03,1.00E+00,
3.98E-03,1.00E+00,
3.98E-03,1.01E+00,
3.99E-03,1.01E+00,
4.00E-03,1.00E+00,
4.00E-03,1.00E+00,
4.00E-03,1.00E+00,
4.01E-03,1.00E+00,
4.01E-03,1.00E+00,
4.02E-03,1.00E+00,
4.03E-03,1.00E+00,
